,FEDFUNDS
2003-10-01,1.01
2003-11-01,1.0
2003-12-01,0.98
2004-01-01,1.0
2004-02-01,1.01
2004-03-01,1.0
2004-04-01,1.0
2004-05-01,1.0
2004-06-01,1.03
2004-07-01,1.26
2004-08-01,1.43
2004-09-01,1.61
2004-10-01,1.76
2004-11-01,1.93
2004-12-01,2.16
2005-01-01,2.28
2005-02-01,2.5
2005-03-01,2.63
2005-04-01,2.79
2005-05-01,3.0
2005-06-01,3.04
2005-07-01,3.26
2005-08-01,3.5
2005-09-01,3.62
2005-10-01,3.78
2005-11-01,4.0
2005-12-01,4.16
2006-01-01,4.29
2006-02-01,4.49
2006-03-01,4.59
2006-04-01,4.79
2006-05-01,4.94
2006-06-01,4.99
2006-07-01,5.24
2006-08-01,5.25
2006-09-01,5.25
2006-10-01,5.25
2006-11-01,5.25
2006-12-01,5.24
2007-01-01,5.25
2007-02-01,5.26
2007-03-01,5.26
2007-04-01,5.25
2007-05-01,5.25
2007-06-01,5.25
2007-07-01,5.26
2007-08-01,5.02
2007-09-01,4.94
2007-10-01,4.76
2007-11-01,4.49
2007-12-01,4.24
2008-01-01,3.94
2008-02-01,2.98
2008-03-01,2.61
2008-04-01,2.28
2008-05-01,1.98
2008-06-01,2.0
2008-07-01,2.01
2008-08-01,2.0
2008-09-01,1.81
2008-10-01,0.97
2008-11-01,0.39
2008-12-01,0.16
2009-01-01,0.15
2009-02-01,0.22
2009-03-01,0.18
2009-04-01,0.15
2009-05-01,0.18
2009-06-01,0.21
2009-07-01,0.16
2009-08-01,0.16
2009-09-01,0.15
2009-10-01,0.12
2009-11-01,0.12
2009-12-01,0.12
2010-01-01,0.11
2010-02-01,0.13
2010-03-01,0.16
2010-04-01,0.2
2010-05-01,0.2
2010-06-01,0.18
2010-07-01,0.18
2010-08-01,0.19
2010-09-01,0.19
2010-10-01,0.19
2010-11-01,0.19
2010-12-01,0.18
2011-01-01,0.17
2011-02-01,0.16
2011-03-01,0.14
2011-04-01,0.1
2011-05-01,0.09
2011-06-01,0.09
2011-07-01,0.07
2011-08-01,0.1
2011-09-01,0.08
2011-10-01,0.07
2011-11-01,0.08
2011-12-01,0.07
2012-01-01,0.08
2012-02-01,0.1
2012-03-01,0.13
2012-04-01,0.14
2012-05-01,0.16
2012-06-01,0.16
2012-07-01,0.16
2012-08-01,0.13
2012-09-01,0.14
2012-10-01,0.16
2012-11-01,0.16
2012-12-01,0.16
2013-01-01,0.14
2013-02-01,0.15
2013-03-01,0.14
2013-04-01,0.15
2013-05-01,0.11
2013-06-01,0.09
2013-07-01,0.09
2013-08-01,0.08
2013-09-01,0.08
2013-10-01,0.09
2013-11-01,0.08
2013-12-01,0.09
2014-01-01,0.07
2014-02-01,0.07
2014-03-01,0.08
2014-04-01,0.09
2014-05-01,0.09
2014-06-01,0.1
2014-07-01,0.09
2014-08-01,0.09
2014-09-01,0.09
2014-10-01,0.09
2014-11-01,0.09
2014-12-01,0.12
2015-01-01,0.11
2015-02-01,0.11
2015-03-01,0.11
2015-04-01,0.12
2015-05-01,0.12
2015-06-01,0.13
2015-07-01,0.13
2015-08-01,0.14
2015-09-01,0.14
2015-10-01,0.12
2015-11-01,0.12
2015-12-01,0.24
2016-01-01,0.34
2016-02-01,0.38
2016-03-01,0.36
2016-04-01,0.37
2016-05-01,0.37
2016-06-01,0.38
2016-07-01,0.39
2016-08-01,0.4
2016-09-01,0.4
2016-10-01,0.4
2016-11-01,0.41
2016-12-01,0.54
2017-01-01,0.65
2017-02-01,0.66
2017-03-01,0.79
2017-04-01,0.9
2017-05-01,0.91
2017-06-01,1.04
2017-07-01,1.15
2017-08-01,1.16
2017-09-01,1.15
2017-10-01,1.15
2017-11-01,1.16
2017-12-01,1.3
2018-01-01,1.41
2018-02-01,1.42
2018-03-01,1.51
2018-04-01,1.69
2018-05-01,1.7
2018-06-01,1.82
2018-07-01,1.91
2018-08-01,1.91
2018-09-01,1.95
2018-10-01,2.19
2018-11-01,2.2
2018-12-01,2.27
2019-01-01,2.4
2019-02-01,2.4
2019-03-01,2.41
2019-04-01,2.42
2019-05-01,2.39
2019-06-01,2.38
2019-07-01,2.4
2019-08-01,2.13
2019-09-01,2.04
2019-10-01,1.83
2019-11-01,1.55
2019-12-01,1.55
2020-01-01,1.55
2020-02-01,1.58
2020-03-01,0.65
2020-04-01,0.05
2020-05-01,0.05
2020-06-01,0.08
2020-07-01,0.09
2020-08-01,0.1
2020-09-01,0.09
2020-10-01,0.09
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.09
2021-02-01,0.08
2021-03-01,0.07
2021-04-01,0.07
2021-05-01,0.06
2021-06-01,0.08
2021-07-01,0.1
2021-08-01,0.09
2021-09-01,0.08
2021-10-01,0.08
2021-11-01,0.08
2021-12-01,0.08
2022-01-01,0.08
2022-02-01,0.08
2022-03-01,0.2
2022-04-01,0.33
2022-05-01,0.77
2022-06-01,1.21
2022-07-01,1.68
2022-08-01,2.33
2022-09-01,2.56
2022-10-01,3.08
2022-11-01,3.78
2022-12-01,4.1
2023-01-01,4.33
2023-02-01,4.57
2023-03-01,4.65
2023-04-01,4.83
2023-05-01,5.06
2023-06-01,5.08
2023-07-01,5.12
2023-08-01,5.33
2023-09-01,5.33
